dish,net,Estimated_GI,net_cleaned,Net_Carbs,GL
Diced pork with green pepper and carrot," 115 g
",20.0,115.0,34.5,6.9
Coarse grain, 126 g,40.0,126.0,37.8,15.12
Egg," 64 g
",30.0,64.0,19.2,5.76
Coarse grain steamed bread," 130 g
",40.0,130.0,39.0,15.6
Boiled vegetable, 101 g,50.0,101.0,30.299999999999997,15.149999999999999
Shredded pork with tomato and cabbage," 119 g
",0.0,119.0,35.699999999999996,0.0
Lettuce," 114 g
",50.0,114.0,34.199999999999996,17.099999999999998
Steamed pomfret," 80 g
",50.0,80.0,24.0,12.0
Coarse grain, 121 g,40.0,121.0,36.3,14.52
Minced pork with broccoli and carrot," 103 g
",20.0,103.0,30.9,6.18
Sliced pork with lettuce and water bamboo," 123 g
",0.0,123.0,36.9,0.0
Chinese cabbage," 114 g
",15.0,114.0,34.199999999999996,5.129999999999999
Coarse grain, 127 g,40.0,127.0,38.1,15.24
Egg," 67 g
",30.0,67.0,20.099999999999998,6.0299999999999985
Coarse grain steamed bread," 128 g
",40.0,128.0,38.4,15.36
Boiled vegetable, 105 g,50.0,105.0,31.5,15.75
Spinach," 101 g
",50.0,101.0,30.299999999999997,15.149999999999999
Shredded pork with celery," 110 g
",0.0,110.0,33.0,0.0
Steamed fish," 102 g
",50.0,102.0,30.599999999999998,15.3
Coarse grain, 132 g,40.0,132.0,39.6,15.84
Sliced duck with yam and tomato," 128 g
",50.0,128.0,38.4,19.2
Minced pork with pumpkin and scallion oil," 114 g
",0.0,114.0,34.199999999999996,0.0
Cabbage," 118 g
",50.0,118.0,35.4,17.7
Coarse grain, 129 g,40.0,129.0,38.699999999999996,15.479999999999997
Egg," 67 g
",30.0,67.0,20.099999999999998,6.0299999999999985
Coarse grain steamed bread," 132 g
",40.0,132.0,39.6,15.84
Boiled vegetable, 102 g,50.0,102.0,30.599999999999998,15.3
Braised duck slices with green pepper and onion," 138 g
",50.0,138.0,41.4,20.7
Vegetable," 122 g
",50.0,122.0,36.6,18.3
Minced meat and cowpea," 112 g
",50.0,112.0,33.6,16.8
Coarse grain, 130 g,40.0,130.0,39.0,15.6
Sliced pork with snow pea and yam," 152 g
",0.0,152.0,45.6,0.0
Shredded Chinese cabbage and carrot," 123 g
",27.5,123.0,36.9,10.1475
Shredded pork with broccoli," 124 g
",0.0,124.0,37.199999999999996,0.0
Coarse grain, 221 g,40.0,221.0,66.3,26.52
Egg," 67 g
",30.0,67.0,20.099999999999998,6.0299999999999985
Coarse grain steamed bread," 128 g
",40.0,128.0,38.4,15.36
Boiled vegetable, 105 g,50.0,105.0,31.5,15.75
biscuit, 10 g,50.0,10.0,3.0,1.5
Glucose, 20 g,50.0,20.0,6.0,3.0
Glucose, 20 g,50.0,20.0,6.0,3.0
Egg," 69 g
",30.0,69.0,20.7,6.21
Coarse grain steamed bread," 134 g
",40.0,134.0,40.199999999999996,16.08
Boiled vegetable, 123 g,50.0,123.0,36.9,18.45
Sliced pork with king oyster mushroom and fungus," 134 g
",6.25,134.0,40.199999999999996,2.5124999999999997
Minced pork with tomato and cabbage,"  124 g
",0.0,124.0,37.199999999999996,0.0
Sweet potato leaves," 114 g
",50.0,114.0,34.199999999999996,17.099999999999998
Coarse grain, 284 g,40.0,284.0,85.2,34.08
Steamed chicken with mushrooms," 130 g
",12.5,130.0,39.0,4.875
Minced pork with white gourd and carrot," 125 g
",20.0,125.0,37.5,7.5
Hangzhou cabbage," 124 g
",50.0,124.0,37.199999999999996,18.599999999999998
Coarse grain, 291 g,40.0,291.0,87.3,34.92
Steamed bread, 100 g,50.0,100.0,30.0,15.0
Scrambled egg with tomato," 159 g
",30.0,159.0,47.699999999999996,14.309999999999997
Shredded pork with green pepper and carrot," 101 g
",20.0,101.0,30.299999999999997,6.06
Hangzhou cabbage," 115 g
",50.0,115.0,34.5,17.25
Coarse grain, 285 g,40.0,285.0,85.5,34.2
Pork jerky, 18 g,0.0,18.0,5.3999999999999995,0.0
Egg," 69 g
",30.0,69.0,20.7,6.21
Coarse grain steamed bread," 145 g
",40.0,145.0,43.5,17.4
Boiled vegetable, 102 g,50.0,102.0,30.599999999999998,15.3
Pork stuffed green pepper," 124g
",0.0,124.0,37.199999999999996,0.0
Shredded pork with tomato and cabbage," 117 g
",0.0,117.0,35.1,0.0
Lettuce,"	124g
",50.0,124.0,37.199999999999996,18.599999999999998
Coarse grain, 289 g,40.0,289.0,86.7,34.68
Steamed chicken with mushrooms," 109 g
",12.5,109.0,32.699999999999996,4.0874999999999995
Minced pork with broccoli and carrot," 115 g
",20.0,115.0,34.5,6.9
Chinese cabbage," 115 g
",15.0,115.0,34.5,5.175
Coarse grain, 282 g,40.0,282.0,84.6,33.84
Pork jerky, 36 g,0.0,36.0,10.799999999999999,0.0
Egg," 63 g
",30.0,63.0,18.9,5.67
Coarse grain steamed bread," 137 g
",40.0,137.0,41.1,16.44
Boiled vegetable, 107 g,50.0,107.0,32.1,16.05
Braised pork with tofu skin knot," 117 g
",0.0,117.0,35.1,0.0
Shredded pork with celery," 114 g
",0.0,114.0,34.199999999999996,0.0
Spinach," 112 g
",50.0,112.0,33.6,16.8
Coarse grain, 290 g,40.0,290.0,87.0,34.8
Sliced pork with lettuce and fungus," 151 g
",0.0,151.0,45.3,0.0
